Observed Water Content,Fitted Water Content,"Suction, h(cm)",SWC_DNN_5HiddenLayers
0.356,0.364,13.12,0.3639355603107529
0.352,0.362,13.689,0.3628005651356202
0.359,0.36,14.543,0.36109707820061443
0.359,0.358,15.397,0.35939361311554946
0.354,0.356,16.251,0.3576901480304845
0.361,0.353,17.105,0.3559866610954788
0.364,0.348,18.529,0.3531462561905494
0.372,0.344,19.668,0.3508130758114749
0.323,0.331,22.514,0.32711764530584775
0.308,0.322,24.223,0.31288861425436554
0.295,0.316,25.361,0.29522107986828977
0.289,0.308,26.785,0.2871083497968573
0.277,0.3,28.208,0.2805038555893941
0.269,0.291,29.632,0.27389394259661126
0.268,0.279,31.625,0.2646433058454337
0.263,0.269,33.333,0.2605735358710334
0.258,0.257,35.325,0.25804112773169596
0.253,0.244,37.603,0.2551450710275354
0.247,0.229,40.45,0.24732934720146973
0.247,0.216,43.012,0.24693482467028874
0.226,0.199,46.713,0.2257494279646144
0.215,0.185,50.129,0.21275924485691267
0.196,0.168,54.969,0.19658854066570583
0.189,0.162,56.962,0.18992972750540063
0.18,0.157,58.67,0.18422330956491806
0.177,0.153,60.093,0.17946858764615234
0.175,0.15,61.232,0.17566302715597007
0.174,0.148,62.371,0.17185799106436708
0.173,0.146,63.225,0.173273342829973
0.17,0.144,64.079,0.17718238463980931
0.167,0.142,64.933,0.17162603209277774
0.173,0.142,64.933,0.17162603209277774
0.163,0.14,65.787,0.16607072834290482
0.162,0.139,66.072,0.16421662976592794
0.162,0.138,66.641,0.16051490019445255
0.161,0.138,66.926,0.15866115121652857
0.157,0.137,67.211,0.15680687784002525
0.158,0.136,67.78,0.15310514826854987
0.156,0.135,68.065,0.151251049691573
0.154,0.135,68.349,0.14940359349660093
0.15,0.134,68.634,0.1475493201200976
0.147,0.133,69.203,0.1438477653481487
0.144,0.133,69.488,0.14199384157069825
0.143,0.132,70.058,0.1382859940157974
0.14,0.131,70.342,0.1364383630212989
0.136,0.13,70.912,0.13273016586734512
0.133,0.129,71.481,0.1290282614963433
0.13,0.128,72.05,0.12532705632344726
0.123,0.127,72.62,0.12161850957044062
0.119,0.126,73.189,0.11791730439754458
0.117,0.126,73.759,0.11420893244406438
0.113,0.125,74.328,0.11050755247164189
0.108,0.124,74.897,0.1068058229001665
0.104,0.123,75.182,0.10495172432318964
0.106,0.123,75.751,0.10162843572646253
0.099,0.121,76.89,0.09892201465855144
0.099,0.12,77.46,0.09756766792767402
0.092,0.119,78.598,0.09486351925360667
0.091,0.118,79.452,0.09283462115018717
0.088,0.116,80.876,0.0894512015163638
0.084,0.115,81.73,0.08742212861341787
0.08,0.113,83.153,0.0840411616354499
0.079,0.112,84.577,0.08065739240257365
0.07,0.111,84.861,0.07998266623050514
0.068,0.11,86.0,0.07727589556354116
0.079,0.11,86.285,0.0765988969976289
0.069,0.109,86.854,0.07524682266059522
0.07,0.109,87.708,0.07321809935670216
0.074,0.108,87.993,0.07254040159268413
0.07,0.108,88.562,0.07118815245612402
0.07,0.108,88.562,0.07118815245612402
0.07,0.107,88.847,0.07051132868973818
0.072,0.107,89.132,0.06983398052477303
0.07,0.107,89.132,0.06983398052477303
